year,dep,eme_h,eme_m,tctita_h,tctita_m,tctib_h,tctib_m,tctic_h,tctic_m,mctia_h,mctia_m,mctib_h,mctib_m,mctic_h,mctic_m,tcasa_h,tcasa_m,tcasb_h,tcasb_m,tcasc_h,tcasc_m,mcasa_h,mcasa_m,mcasb_h,mcasb_m,mcasc_h,mcasc_m,ay_h,ay_m,tec_h,tec_m
1968,IIH,,,1,1,2,,,,1,1,3,2,,,,,2,1,,,,,,,,,,,,
1968,Santropología,1,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,,
1968,IIJ,1,,1,,1,1,,,2,,,,,,,,1,,,,,,,,,,,,,
1968,IIS,,,3,,3,1,,,,,,2,,,,,1,,,,,,,,,,,,,
1968,CCE,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1968,Lab Nuclear,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,IA,,,10,1,6,,,,,,,,,,,,1,,,,,,1,1,,,,,,
1968,IB,,,17,8,5,5,,,,,,,,,,,3,1,,,,,3,1,,,,,,
1968,IF,,,37,2,12,,,,2,,1,1,,,,,8,,,,,,6,2,,,,,,
1968,Igeofísica,,,14,2,1,1,,,,,,,,,,,12,1,,,,,,,,,,,,
1968,Igeografía,,,3,6,,,,,,,,,,,,,,2,,,,,,2,,,,,,
1968,Igeología,,,19,4,6,,,,1,,,,,,,,2,2,,,,,6,1,,,,,,
1968,IIBIOMÉDICAS,,,24,6,7,,,,2,,,,,,,,7,2,,,,,3,3,,,,,,
1968,IM,,,15,,7,,,,,,,,,,,,4,,,,,,,,,,,,,
1968,IQ,,,11,3,9,,,,,,,,,,,,1,3,,,,,,,,,,,,
1969,BN,,,1,,1,,,,,,1,1,,,,,1,1,,,,,3,1,,,,,,
1969,IIEc,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1969,IIE,,,2,,,1,,,,,3,1,,,,,,,,,,,2,2,,,,,,
1969,IIF,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1969,IIH,1,,2,,3,1,,,,,,1,,,,,2,1,,,,,5,2,,,,,,
1969,IIJ,1,,1,,1,1,,,,1,1,,,,,,1,,,,,,1,,,,,,,
1969,IIS,1,,3,1,3,1,,,,,,,,,,,1,,,,,,,1,,,,,,
1969,IA,,,7,,2,,,,,,,,,,,,1,,,,,,,,,,,,,
1969,IB,,,6,6,3,1,,,,,,1,,,,,5,,,,,,4,1,,,,,,
1969,IF,,,13,,10,1,,,1,,,1,,,,,6,,,,,,7,,,,,,,
1969,Igeofísica,,,1,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,
1969,Igeografía,,,,,,3,,,,,1,,,,,,2,2,,,,,3,2,,,,,,
1969,Igeología,,,6,,2,1,,,1,,1,,,,,,2,3,,,,,2,1,,,,,,
1969,IIBIOMÉDICAS,,,8,,12,4,,,2,,1,2,,,,,3,1,,,,,1,1,,,,,,
1969,Imat,1,,8,,4,,,,,,,,,,,,3,,,,,,,,,,,,,
1969,IQ,,,8,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
1970,IIBiblio,,,1,,1,,,,,,1,1,,,,,1,1,,,,,4,2,,,,,,
1970,IIEc,,,6,,,1,,,1,,,,,,,,1,1,,,,,3,1,,,,,,
1970,IIE,,,1,,,1,,,,,4,1,,,,,,,,,,,1,3,,,,,,
1970,IIF,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,IIH,1,,2,1,3,1,,,,,1,1,,,,,2,1,,,,,2,4,,,,,,
1970,IIJ,1,,1,,1,1,,,1,,1,,,,,,1,,,,,,,,,,,,,
1970,IIS,,,1,,4,,,,,,,,,,,,1,,,,,,,2,,,,,,
1970,IA,,,7,,2,,,,1,,,,,,,,3,,,,,,,,,,,,,
1970,IB,,,7,4,3,,,,,,,,,,,,9,,,,,,,,,,,,,
1970,IF,,,15,,11,1,,,1,,,1,,,,,8,,,,,,4,,,,,,,
1970,Igeofísica,,,1,2,12,1,,,,,,,,,,,,,,,,,,,,,,,,
1970,Igeografía,,,,,1,3,,,,,,,,,,,2,3,,,,,1,1,,,,,,
1970,Igeología,,,4,,6,2,,,1,,2,,,,,,3,2,,,,,2,,,,,,,
1970,IIBIOMÉDICAS,,,9,,12,4,,,1,,1,2,,,,,3,2,,,,,1,1,,,,,,
1970,Imat,,,9,,4,,,,,,,,,,,,2,,,,,,,,,,,,,
1970,IQ,,,7,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
1971,CELiterarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,CELing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,CTradLenguas Clas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,CE Mayas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,BN,,,1,,1,,3,,,,1,1,2,2,,,,,,,,,,,,,,,,
1971,IIEc,,,6,1,,,1,1,2,,,,,,,,,,,,,,,,,,,,,
1971,IIE,,,1,1,,3,1,,,,3,,,1,,,,,,,,,,,,,,,,
1971,IIF,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,IIH,,,,1,1,,2,1,,1,,,1,4,,,,,,,,,,,,,,,,
1971,Sección Antropología,1,,2,,4,1,,,,,,,1,,,,,,,,,,,,,,,,,
1971,IIJ,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,
1971,IIS,,,1,,6,,,2,,,,,1,,,,,,,,,,,,,,,,,
1971,CCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,CI Materiales,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
1971,IA,,,7,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,
1971,JB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,IF,,,17,,10,1,,,1,,,1,2,1,,,,,,,,,,,,,,,,
1971,Igeofísica,,,2,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,
