year,dep,eme_h,eme_m,tc_tit_t_h,tc_tit_t_m,tc_tit_a_h,tc_tit_a_m,tc_tit_b_h,tc_tit_b_m,tc_tit_c_h,tc_tit_c_m,mt_tit_a_h,mt_tit_a_m,mt_tit_b_h,mt_tit_b_m,mt_tit_c_h,mt_tit_c_m,tc_ass_a_h,tc_ass_a_m,tc_ass_b_h,tc_ass_b_m,tc_ass_c_h,tc_ass_c_m,mt_ass_a_h,mt_ass_a_m,mt_ass_b_h,mt_ass_b_m,mt_ass_c_h,mt_ass_c_m,cat_a_h,cat_a_m,cat_b_h,cat_b_m,cat_c_h,cat_c_m,ayu_a_h,ayu_a_m,ayu_b_h,ayu_b_m,ayu_c_h,ayu_c_m,ordcarr_h,ordcarr_m,teoprac_h,teoprac_m,instruc_h,instruc_m,conferenc_s,aycat_h,aycat_m,pasoc_h,pasoc_m,preplab_h,preplab_m,coord_h,coord_m,aylab_h,aylab_m,otros_h,otros_m,total_h,total_m
1969,ENP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,308,387,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,ENA,4,,,,,,19,,,,,,4,,,,,,,,,,,,,,,,142,10,283,29,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,ENAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3,25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,FC,,,,,9,1,4,1,,,2,1,2,,,,,,,,,,,,,,,,25,6,63,14,136,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,FCPyS,,,,,7,,1,,,,2,,,,,,,,,,,,,,,,,,23,6,35,3,57,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,FCA,,,,,3,,,1,,,2,,,1,,,,,,,,,,,,,,,276,9,186,11,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,FD,1,,,,5,,1,,,,20,1,1,2,,,,,,,,,,,,,,,97,6,95,26,39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,ENE,3,,,,4,1,2,,,,15,1,2,,,,,,,,,,,,,,,,47,5,19,2,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,ENEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,16,15,33,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,FFyL,3,,,,8,1,5,8,,,3,1,5,2,,,,,,,,,,,,,,,87,37,39,42,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,FI,,,,,12,,,,,,34,,2,,,,,,,,,,,,,,,,196,,271,1,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,FM,3,,,,19,,7,2,,,12,,15,,,,,,,,,,,,,,,,268,5,595,137,835,103,,,,,,,,,,,2,,,,,,,,,,,,,,,,
1969,ENMZ,,,,,6,2,6,3,,,,,,,,,,,,,,,,,,,,,37,4,15,3,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,ENM,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,22,15,24,12,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,ENO,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,78,4,35,2,97,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,FQ,1,,,,3,,1,,,,,,1,,,,,,,,,,,,,,,,63,8,70,7,104,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,II,,,,,12,,,,,,34,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,CELE,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,6,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,IIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,IB/JB,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,IF,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,Igeogísica,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,Igeología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,IQ,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,ENA,2,,,,,,,,,,4,,18,,,,,,,,,,,,,,,,139,10,349,32,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
